Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
04-05-2020_20-37-05-789;-23.56535;23.71069;-2.500897;10.932912;200.614;173.3724;140.6503;81.66427
04-05-2020_20-37-05-909;-23.56535;20.53486;14.301371;23.06052;198.6115;125.68506;116.5957;88.55532
04-05-2020_20-37-05-929;-23.56535;21.30461;9.736063;19.64779;195.8629;136.8761;122.08909;85.76756
04-05-2020_20-37-05-949;-23.56535;20.06935;14.914885;23.67019;197.7195;123.67292;115.30164;89.02614
04-05-2020_20-37-05-969;-23.56535;20.90949;11.337387;21.38748;198.0337;133.3337;119.13249;87.16961
04-05-2020_20-37-05-989;-23.56535;21.0396;13.698703;23.81212;198.0092;127.09433;116.7168;89.50636
04-05-2020_20-37-06-009;-23.56535;21.34933;11.618363;21.9624;197.1544;127.63102;118.18525;87.70232
04-05-2020_20-37-06-029;-23.56535;20.46066;16.42133;25.0625;199.73;118.29028;113.99352;90.09358
04-05-2020_20-37-06-049;-23.56535;21.27788;10.831044;20.66916;199.9045;136.4775;123.61034;88.32664
04-05-2020_20-37-06-069;-23.56535;20.93703;14.513861;23.65213;199.1157;125.60051;117.31751;88.60906
04-05-2020_20-37-06-089;-23.56535;21.16729;14.929482;24.17606;199.9588;125.15719;117.7859;88.53075
04-05-2020_20-37-06-109;-23.56535;20.1815;17.93295;26.15221;199.7378;116.76515;114.53021;91.83806
04-05-2020_20-37-06-129;-23.56535;21.41461;11.826853;21.17345;199.0066;133.5163;120.56438;87.02383
04-05-2020_20-37-06-149;-23.56535;20.44465;14.208478;22.91065;197.8711;124.63213;118.32756;88.01631
04-05-2020_20-37-06-169;-23.56535;20.39537;13.345842;22.20178;196.3785;128.6729;117.93458;87.15839
04-05-2020_20-37-06-189;-23.56535;20.59329;13.163146;22.78111;199.2145;128.9729;118.7903;87.46164
04-05-2020_20-37-06-209;-23.56535;20.47616;12.216994;21.53171;199.6982;128.7598;119.97417;88.49277
04-05-2020_20-37-06-229;-23.56535;20.26717;12.802516;22.04075;200.3073;129.1163;119.5612;90.04245
04-05-2020_20-37-06-249;-23.56535;23.40138;-1.550321;11.947034;200.4816;167.878;136.3693;81.4906
04-05-2020_20-37-06-269;-23.56535;20.77107;10.593914;20.58295;201.0993;135.2422;120.692;87.57072
04-05-2020_20-37-06-289;-23.56535;20.42664;15.501212;23.68634;196.2255;123.82307;115.98639;89.23907
04-05-2020_20-37-06-309;-23.56535;20.15045;15.024672;23.18747;199.4394;123.61491;115.72926;89.09458
04-05-2020_20-37-06-329;-23.56535;20.20773;15.937031;24.17425;196.4448;121.48952;115.6657;88.63357
04-05-2020_20-37-06-349;-23.56535;23.46027;3.201104;15.389189;199.8783;159.9052;134.5101;83.30601
04-05-2020_20-37-06-369;-23.56535;24.5676;-0.9893765;12.341659;199.5199;170.5113;138.8221;81.29991
04-05-2020_20-37-06-389;-23.56535;22.13223;12.608843;21.79248;200.1428;132.863;122.43103;88.79639
04-05-2020_20-37-06-409;-23.56535;24.11598;-1.13462;11.27116;198.2157;168.92;139.1949;80.10399
04-05-2020_20-37-06-429;-23.56535;22.05194;11.771791;21.52908;200.7754;135.7818;122.56666;88.31536
04-05-2020_20-37-06-449;-23.56535;19.89943;24.27226;30.31014;197.2707;102.19882;104.60707;91.33199
04-05-2020_20-37-06-469;-23.56535;21.76789;18.43083;26.51471;198.4203;116.56271;113.75867;89.97307
04-05-2020_20-37-06-489;-23.56535;21.26555;17.41293;25.27481;199.4576;122.62936;115.87934;90.02687
04-05-2020_20-37-06-509;-23.56535;22.19047;5.604636;16.5953;197.4745;149.6838;129.0731;83.3618
04-05-2020_20-37-06-529;-23.56535;24.1166;-1.206941;12.091398;200.3151;169.6378;138.5294;81.92285
04-05-2020_20-37-06-549;-23.56535;20.58584;14.341904;23.10385;198.7837;123.96697;118.42833;88.70451
04-05-2020_20-37-06-569;-23.56535;23.86682;-1.372695;11.589417;200.9335;170.2802;138.8488;80.60269
04-05-2020_20-37-06-589;-23.56535;20.04078;15.315227;23.15096;196.9595;121.72781;115.45325;88.23435
04-05-2020_20-37-06-609;-23.56535;19.70248;16.91818;24.34712;197.0237;119.44149;114.38833;89.94067
04-05-2020_20-37-06-629;-23.56535;21.62213;10.20612;19.95643;197.6831;135.2401;123.82826;86.62502
04-05-2020_20-37-06-649;-23.56535;20.80351;14.869701;23.59673;198.5426;122.62087;117.66679;88.24897
04-05-2020_20-37-06-669;-23.56535;21.20936;10.663943;20.15247;198.8653;136.3742;124.79321;87.59501
04-05-2020_20-37-06-689;-23.56535;19.88208;11.904758;21.16055;198.2928;131.2466;119.50953;88.09998
04-05-2020_20-37-06-709;-23.56535;20.33611;13.433471;22.84606;199.2541;125.77479;118.26192;89.74621
04-05-2020_20-37-06-729;-23.56535;20.90663;13.064414;22.95182;198.5818;128.8812;120.4826;88.52139
04-05-2020_20-37-06-749;-23.56535;20.33889;16.82927;25.41764;198.6313;115.02996;113.56863;89.95825
04-05-2020_20-37-06-769;-23.56535;23.72709;-2.264748;11.636699;201.3645;170.4365;138.9036;82.0409
04-05-2020_20-37-06-789;-23.56535;20.87535;9.597849;19.56231;199.8294;136.752;123.65302;87.78393
04-05-2020_20-37-06-809;-23.56535;23.11953;2.8833;15.218079;199.8273;156.3144;132.3818;85.0323
04-05-2020_20-37-06-829;-23.56535;21.01237;15.565008;24.80444;198.4313;120.74109;114.8015;89.14275
04-05-2020_20-37-06-849;-23.56535;21.66894;10.874477;20.93425;198.444;135.527;121.91232;87.51356
04-05-2020_20-37-06-869;-23.56535;20.20878;17.21881;25.00659;198.2216;117.78394;115.06109;90.60159
04-05-2020_20-37-06-889;-23.56535;20.67809;12.367008;20.96316;196.905;133.5345;121.64792;88.86781
04-05-2020_20-37-06-909;-23.56535;20.69806;14.020999;22.82318;200.465;128.8457;119.17719;89.16734
04-05-2020_20-37-06-929;-23.56535;20.84935;12.891489;22.03125;197.2144;129.6204;119.46755;87.83389
04-05-2020_20-37-06-949;-23.56535;21.68823;6.740352;17.51462;199.271;148.3631;128.3571;85.54174
04-05-2020_20-37-06-969;-23.56535;21.84499;4.835659;15.997843;198.352;152.6441;130.0297;84.6128
04-05-2020_20-37-06-989;-23.56535;21.19485;7.541552;18.09311;199.8391;143.5054;125.21404;85.57226
04-05-2020_20-37-07-009;-23.56535;21.34126;7.585748;18.54342;199.837;144.1806;127.10142;87.98856
04-05-2020_20-37-07-029;-23.56535;21.21491;9.857106;20.22796;198.9855;137.5313;122.89682;86.83508
04-05-2020_20-37-07-049;-23.56535;21.17769;10.113231;19.85368;199.0017;137.2564;122.27496;87.30843
04-05-2020_20-37-07-069;-23.56535;21.25069;8.540382;18.48299;199.2673;139.3397;125.11103;85.84803
04-05-2020_20-37-07-089;-23.56535;20.90103;9.165874;19.12715;199.3582;138.4011;123.16681;86.77462
04-05-2020_20-37-07-109;-23.56535;21.62092;9.341208;20.63915;198.993;139.0681;123.31876;87.29668
04-05-2020_20-37-07-129;-23.56535;22.11434;9.505257;20.13559;200.7501;141.9189;125.54642;88.18737
04-05-2020_20-37-07-149;-23.56535;21.81012;9.928144;20.1203;198.3143;139.7219;124.11062;87.78216
04-05-2020_20-37-07-169;-23.56535;21.70946;9.738453;19.9239;199.5809;139.0354;124.55588;87.39806
04-05-2020_20-37-07-189;-23.56535;22.09182;9.452991;20.11905;197.987;136.2896;122.33363;86.40476
04-05-2020_20-37-07-209;-23.56535;22.31855;9.580731;20.68031;198.1324;137.4405;122.96165;86.81726
04-05-2020_20-37-07-229;-23.56535;22.4904;9.618944;20.02227;200.842;141.4158;126.34473;87.37965
04-05-2020_20-37-07-249;-23.56535;21.31663;10.78364;20.30195;196.8076;134.776;121.96818;85.60523
04-05-2020_20-37-07-269;-23.56535;21.61753;9.25913;19.21446;199.3635;140.1592;124.12075;86.3125
04-05-2020_20-37-07-289;-23.56535;22.27074;8.32764;18.98028;197.3594;140.7617;124.05447;85.34876
04-05-2020_20-37-07-309;-23.56535;22.20304;8.267176;19.16511;199.9653;142.0726;125.87578;86.59279
04-05-2020_20-37-07-329;-23.56535;21.33051;8.907387;19.39691;198.8384;139.7639;124.34867;86.86093
04-05-2020_20-37-07-349;-23.56535;20.46925;10.892424;20.52792;198.6516;132.8346;121.41198;87.48283
04-05-2020_20-37-07-369;-23.56535;21.13697;8.573974;18.76782;198.127;138.3375;124.01437;85.68275
04-05-2020_20-37-07-389;-23.56535;21.28542;11.149358;21.26048;197.7461;132.9632;121.33672;88.06839
04-05-2020_20-37-07-409;-23.56535;21.66015;7.839249;18.94017;196.9552;139.0256;123.99327;84.53169
04-05-2020_20-37-07-429;-23.56535;20.94533;8.22004;18.72293;198.2672;140.9091;124.47456;84.17078
04-05-2020_20-37-07-449;-23.56535;21.22071;8.280104;18.91431;199.149;139.9853;123.87205;86.00564
04-05-2020_20-37-07-469;-23.56535;22.02124;7.805539;18.31216;197.7623;142.049;125.74493;84.97887
04-05-2020_20-37-07-489;-23.56535;22.49958;8.77257;19.81396;197.6375;139.3862;124.28317;85.16942
04-05-2020_20-37-07-509;-23.56535;21.61977;9.265924;19.89216;199.0094;139.3824;125.47337;86.76279
04-05-2020_20-37-07-529;-23.56535;21.44461;9.166894;19.48059;201.3169;140.8144;124.67152;87.06997
04-05-2020_20-37-07-549;-23.56535;21.99219;8.362764;19.21686;198.9261;139.8322;125.08112;87.27687
04-05-2020_20-37-07-569;-23.56535;22.48748;8.741396;19.97778;197.0593;137.4826;123.32323;84.69248
04-05-2020_20-37-07-589;-23.56535;22.37046;9.333839;20.68265;199.0397;137.5636;124.47617;86.88138
04-05-2020_20-37-07-609;-23.56535;21.82953;9.106042;19.56637;197.7351;140.5584;124.585;84.27818
04-05-2020_20-37-07-629;-23.56535;21.56033;9.481649;19.04758;200.2343;140.5023;125.48498;88.30591
04-05-2020_20-37-07-649;-23.56535;21.52324;9.943254;19.74275;199.5703;138.9157;125.83318;89.0512
04-05-2020_20-37-07-669;-23.56535;22.01631;9.386415;19.48027;197.7364;140.5738;124.32423;86.48754
04-05-2020_20-37-07-689;-23.56535;21.78378;9.632899;19.93791;197.7482;137.2056;122.7279;86.26812
04-05-2020_20-37-07-709;-23.56535;21.20176;8.870824;18.88999;200.5062;141.0438;126.46615;86.2444
04-05-2020_20-37-07-729;-23.56535;20.61138;9.274734;18.86214;201.1989;140.6506;125.48077;89.3002
04-05-2020_20-37-07-749;-23.56535;20.95619;8.595066;18.63149;199.0539;142.0553;124.63283;87.40895
04-05-2020_20-37-07-769;-23.56535;21.18266;8.002331;18.91917;200.8399;143.2708;127.08444;88.67308
04-05-2020_20-37-07-789;-23.56535;21.32491;8.666655;19.21229;199.4249;140.9839;124.89097;87.82985
04-05-2020_20-37-07-809;-23.56535;21.08475;9.071793;19.10432;199.086;138.5273;123.44588;85.1058
04-05-2020_20-37-07-829;-23.56535;20.99734;10.478463;20.3547;199.9292;136.826;123.66019;87.37832
04-05-2020_20-37-07-849;-23.56535;21.47714;9.372367;19.71644;200.5301;141.6134;126.45557;88.40829
04-05-2020_20-37-07-869;-23.56535;21.49522;9.068367;19.5235;199.9751;140.4154;126.56288;88.40714
04-05-2020_20-37-07-889;-23.56535;21.85321;9.085851;19.63825;199.4734;140.5393;124.83941;86.49561
04-05-2020_20-37-07-909;-23.56535;21.53394;9.251507;19.63074;200.2112;140.3994;124.84552;87.50154
04-05-2020_20-37-07-929;-23.56535;22.05044;8.516095;19.74281;199.7157;141.4763;124.84304;85.29259
04-05-2020_20-37-07-949;-23.56535;22.24813;9.095921;20.40527;199.9296;140.0763;124.82359;87.70995
04-05-2020_20-37-07-969;-23.56535;22.59807;8.731139;19.81073;199.7224;140.8815;125.31935;87.09097
04-05-2020_20-37-07-989;-23.56535;22.04041;6.767918;18.14651;199.7894;146.0655;126.96259;85.52163
04-05-2020_20-37-08-009;-23.56535;21.75494;8.714328;19.07463;199.09;142.0497;124.6759;85.47349
04-05-2020_20-37-08-029;-23.56535;22.84452;8.78424;19.24117;198.0332;142.2815;126.0818;85.43918
04-05-2020_20-37-08-049;-23.56535;22.25894;10.648591;20.69206;199.6957;138.8961;123.74893;86.74987
04-05-2020_20-37-08-069;-23.56535;22.27862;11.832967;21.21737;200.1133;138.0289;123.16872;87.36254
04-05-2020_20-37-08-089;-23.56535;21.18977;11.591287;20.6553;199.2894;135.7249;122.49808;87.47875
04-05-2020_20-37-08-109;-23.56535;21.5809;9.378389;18.81464;200.4917;142.0945;126.60851;87.62531
04-05-2020_20-37-08-129;-23.56535;22.94441;5.092427;16.0753;199.0912;153.1079;129.7876;83.85791
04-05-2020_20-37-08-149;-23.56535;22.80417;5.933066;16.73733;200.815;150.5814;129.8031;84.84451
04-05-2020_20-37-08-169;-23.56535;20.44136;15.409631;23.52959;198.7404;123.09305;116.20744;87.34779
04-05-2020_20-37-08-189;-23.56535;19.44443;16.32182;24.35043;199.0061;117.32725;114.82789;89.37952
04-05-2020_20-37-08-208;-23.56535;20.20705;16.60231;24.69107;198.5179;117.17004;115.63244;89.1584
04-05-2020_20-37-08-228;-23.56535;21.44832;10.55057;20.44831;197.2722;133.315;122.71249;85.9586
04-05-2020_20-37-08-248;-23.56535;21.28023;10.083669;20.3421;196.4109;133.4675;121.08894;86.79023
04-05-2020_20-37-08-268;-23.56535;21.28509;8.97191;19.26976;200.1334;139.5159;123.2155;86.76838
04-05-2020_20-37-08-289;-23.56535;21.09773;9.548808;19.68947;198.2984;139.0205;123.41965;86.105
04-05-2020_20-37-08-309;-23.56535;22.07666;8.820116;19.54756;196.3396;137.9992;125.87138;84.64373
04-05-2020_20-37-08-329;-23.56535;22.28544;8.229411;19.5625;197.8071;139.6115;125.41473;85.2353
04-05-2020_20-37-08-349;-23.56535;21.42667;8.490992;19.44521;197.5192;137.8176;123.32705;85.94526
04-05-2020_20-37-08-369;-23.56535;21.33945;8.639286;19.53884;199.9897;138.2463;122.83314;86.00993
04-05-2020_20-37-08-388;-23.56535;21.41757;10.561592;20.41184;197.3136;134.0261;120.84215;85.70781
04-05-2020_20-37-08-408;-23.56535;21.49174;9.24654;20.16113;197.9152;136.9816;122.33245;85.14913
04-05-2020_20-37-08-428;-23.56535;21.49804;8.649147;19.72872;197.353;137.6807;123.2914;85.80858
04-05-2020_20-37-08-448;-23.56535;21.1825;8.808185;19.47957;196.6364;136.9672;123.34515;85.51888
04-05-2020_20-37-08-468;-23.56535;21.22987;8.756145;19.22867;197.1523;137.3859;123.52404;86.9931
04-05-2020_20-37-08-489;-23.56535;21.39999;9.67066;19.42862;197.9651;137.5908;124.40944;86.18846
04-05-2020_20-37-08-508;-23.56535;21.37534;10.288692;20.29944;199.7926;136.7919;121.99152;86.02606
04-05-2020_20-37-08-528;-23.56535;21.17301;10.517272;20.06573;197.3144;135.9368;120.92184;85.99809
04-05-2020_20-37-08-548;-23.56535;21.46363;11.072423;20.4409;199.4664;136.127;121.84806;87.51188
04-05-2020_20-37-08-568;-23.56535;21.1832;10.721931;20.52273;199.0033;137.3464;122.72346;87.05733
04-05-2020_20-37-08-588;-23.56535;21.60651;9.306966;19.32358;198.5843;141.2414;125.5701;86.04446
04-05-2020_20-37-08-608;-23.56535;21.85795;10.202855;20.01836;200.1035;140.9699;125.40322;88.20535
04-05-2020_20-37-08-628;-23.56535;21.6236;9.899529;19.55025;199.377;139.0423;124.25732;87.47402
04-05-2020_20-37-08-648;-23.56535;21.17286;9.796144;19.51953;197.346;137.5801;122.26475;85.66055
04-05-2020_20-37-08-668;-23.56535;21.39096;7.705789;18.486;197.6802;140.5221;124.08143;85.99979
04-05-2020_20-37-08-688;-23.56535;21.58968;9.327822;20.0535;197.5329;137.8752;123.84599;86.77129
04-05-2020_20-37-08-708;-23.56535;21.73991;11.539641;21.55068;198.6828;134.3924;121.87087;88.24239
04-05-2020_20-37-08-728;-23.56535;21.62559;11.076632;20.37616;196.5098;135.5715;122.61533;85.71294
04-05-2020_20-37-08-748;-23.56535;21.13351;9.648108;19.87559;199.2393;138.439;122.90735;86.51968
04-05-2020_20-37-08-768;-23.56535;20.58916;13.076705;22.44323;201.1186;132.6151;120.28816;89.10582
04-05-2020_20-37-08-788;-23.56535;22.65557;6.308806;17.91297;197.7642;144.2927;127.21848;85.90414
04-05-2020_20-37-08-808;-23.56535;22.74981;4.940064;17.11352;200.5471;145.8796;129.2157;85.65141
04-05-2020_20-37-08-828;-23.56535;20.69419;14.280134;23.31236;200.7061;128.0643;118.08648;89.27802
04-05-2020_20-37-08-848;-23.56535;22.45188;7.062096;18.12087;199.4359;144.5007;127.73537;84.7694
04-05-2020_20-37-08-869;-23.56535;21.22353;13.863727;23.34541;199.0874;128.8213;118.38258;88.27452
04-05-2020_20-37-08-888;-23.56535;23.72399;2.505277;14.817237;198.5042;154.7459;133.7067;83.23973
04-05-2020_20-37-08-908;-23.56535;16.63046;37.38952;40.12158;204.8842;78.94817;87.78387;98.98682
04-05-2020_20-37-08-928;-23.56535;23.07063;2.376904;14.098869;198.3816;157.573;134.1933;83.02282
04-05-2020_20-37-08-948;-23.56535;23.64046;3.184326;14.747304;197.3899;156.5665;134.2212;82.88859
04-05-2020_20-37-08-968;-23.56535;21.48494;14.525081;23.07979;199.2666;131.5357;117.40527;86.75078
04-05-2020_20-37-08-988;-23.56535;23.051;4.459791;16.2633;198.3528;152.7832;131.3635;84.28979
04-05-2020_20-37-09-008;-23.56535;17.42608;27.28955;33.17765;202.7718;93.45099;97.71052;94.30307
04-05-2020_20-37-09-028;-23.56535;20.0096;12.470901;22.08235;201.0241;126.56518;118.09439;90.52132
04-05-2020_20-37-09-048;-23.56535;25.69405;-14.716623;2.324886;194.8943;188.1694;155.3992;76.81669
04-05-2020_20-37-09-068;-23.56535;22.09161;6.409939;17.68058;194.9788;139.7806;125.27055;84.98004
04-05-2020_20-37-09-088;-23.56535;19.13945;19.12626;27.28895;200.2966;111.17449;107.99889;91.12849
04-05-2020_20-37-09-108;-23.56535;24.87312;-9.973968;4.851147;196.4135;183.657;150.406;78.88256
04-05-2020_20-37-09-128;-23.56535;22.57062;0.4228306;13.437511;197.6215;154.4609;135.6062;84.07851
04-05-2020_20-37-09-148;-23.56535;18.58154;22.62404;30.04561;201.5037;105.44299;103.93732;92.67562
04-05-2020_20-37-09-168;-23.56535;19.95345;19.29407;27.50419;201.1009;117.04018;110.60312;89.95858
04-05-2020_20-37-09-188;-23.56535;23.02387;2.245091;14.630462;197.5656;155.8251;133.2565;83.29775
04-05-2020_20-37-09-208;-23.56535;18.34629;20.87333;27.69207;201.5169;112.11549;108.78825;93.68456
04-05-2020_20-37-09-228;-23.56535;22.79401;-0.01719475;12.96887;197.6211;157.0558;135.6584;83.87289
04-05-2020_20-37-09-248;-23.56535;21.62381;11.644274;21.88373;201.7445;135.374;120.87918;86.67645
04-05-2020_20-37-09-268;-23.56535;22.34524;11.108841;21.2833;198.1648;135.1583;122.3616;86.67312
04-05-2020_20-37-09-288;-23.56535;22.78618;8.910517;19.35004;198.4012;141.2846;124.31116;85.84225
04-05-2020_20-37-09-308;-23.56535;21.90411;8.010898;18.29462;199.4793;143.1976;126.47698;86.71142
04-05-2020_20-37-09-328;-23.56535;22.09473;8.605244;19.16421;197.846;141.3247;126.07343;86.28439
04-05-2020_20-37-09-348;-23.56535;21.87499;9.989516;20.75654;199.8722;138.6516;124.69153;88.22228
